"","tweets.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","score"
"259","I might have to make one of these for poolside at the new house ",0,0,0,0,0,0,0,0,0.8
"260","RT We promise that youll never find another like The pop monarch is back with new music a new outlook on life and",0,0,0,0,2,1,1,1,2.65
"261","Only just got round to watching this weeks episode and I usually dislike tweeting spoilers but hones ",1,0,1,0,0,0,0,0,-1
"262","RT How hood niggas watch Game of Thrones  ",1,1,1,2,0,0,0,0,-0.25
"263","Tune in the Odds ShowRecap Update Preview amp ",0,0,0,0,0,0,0,0,0
"264","Been thinking about in wake of upcoming finale of how book franchises with really deepdiving har ",0,0,0,0,0,0,0,0,0.4
"265","RT Joey Bosa thinks he found his cameo on thanks to his big nose via ",0,0,1,0,1,0,0,1,1.45
"266","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"267","RT daenerys gave lives to her dragons raise them trying to tame them when they were wild rode them multiple times had to",0,0,0,0,0,0,1,0,-0.25
"268","Theyre treating like shes Daenerys breaker of chains ",0,0,0,0,0,0,0,0,0.5
"269","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"270","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"271","RT One of my favorite things about is how the villains change over the years ",0,0,0,1,1,0,0,1,-0.25
"272","RT OMGthought he was joking ",0,0,0,0,0,0,0,0,0.6
"273","Rextorn Metalwork made the hand of Jeremy Lanister for in Congrats",0,0,0,0,0,0,0,0,1
"274","RT Only two episodes leftThe final season of airs Sundays on ",0,0,1,0,0,0,0,0,0
"275","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"276","Only  episodes of left Order one of my Keepsake Boxes to have as your own Color opt ",0,0,0,0,0,0,0,0,0.6
"277","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"278","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"279","The anticipation it too crazy right now ",1,1,0,1,0,1,0,0,0.3
"280","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"281","RT So I hear Ghost will actually be appearing in future episodes of but due to budget constraints HBO had to cut",0,0,0,1,0,0,0,1,-0.6
"282","RT Kit Harington and Emilia Clarke explain why and cant pick up the pieces of their relationship ",0,0,0,0,0,0,0,1,0
"283","Prevent DeathLock your carTake your keysHide your belongingsFly to safety on your dragonIm coming for all of ",0,1,0,1,0,0,0,0,0.55
"284","RT When I come back to Nigeria Rochas will erect a statue for Arya Stark as his parting gift to Imo people",0,1,0,0,1,1,1,1,0
"285","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"286","RT me when i saw rhaegal falling into the sea  the mountain killing missandei ",1,1,0,1,0,2,0,0,-1.5
"287","writers will create a repo to let users fix the season  scripts",0,0,0,0,1,0,0,0,0.6
"288","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"289","RT As we get closer to the final clash I have thoughts about the direction they seem to be going I know dar",1,0,0,0,0,0,0,0,-0.75
"290","RT Before the storm final season brews up a breaking point ",1,0,0,0,0,0,0,0,-0.85
"291","RT Fixed it  ",0,0,0,0,0,0,0,1,0
"292","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"293","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"294","Theres a Game of Thrones theory about more dragons in the next episode ",0,1,0,0,0,0,0,1,0
"295","RT Winter is Coming",0,1,0,0,0,0,0,0,0
"296"," mins silence for those people who started watching because of the Season  hype",0,1,0,0,0,0,0,0,-0.5
"297","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"298","People are really going nuts over this Mad Queen fan theory And I think everyone is forgetting ",1,1,1,1,0,1,0,1,-1
"299","Is this the ending for Cersei holding up a white flag then getting burned ",0,1,0,0,1,0,0,1,-0.2
"300","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"301","RT Somewhere in the world someone is watching GOT S E out of peer pressure",0,0,0,0,0,0,0,0,-0.5
"302","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"303","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"304","I already miss him so freaking much ",0,0,0,0,0,0,0,0,-0.5
"305","RT I replaced Eurons green screen ",0,0,0,0,1,0,0,1,0
"306","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"307","RT Who else has had an emotional week with amp Let us know what you thought of both End Game",0,1,0,0,0,0,0,0,0
"308","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"309","Hot take Danny becomes he mad Queen and Jonaegon kills her ",2,0,1,1,0,1,0,0,-1.75
"310","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"311","RT I knew and would end up together If you watch there were a lot of signs ",0,1,0,1,0,0,0,0,0
"312","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"313","Must be pretty heinous to have the probably definitive character of your career just shattered in the last couple o ",0,2,0,0,1,1,0,2,0.35
"314","RT How hood niggas watch Game of Thrones  ",1,1,1,2,0,0,0,0,-0.25
"315","A Trip to the Glens of Antrim with Connolly CoveWith its worldwide famous sights ",0,0,0,0,0,0,1,0,0.5
"316","We need Milk of the Poppy to survive this Sunday episode Prost ",0,0,0,0,0,0,0,0,0.8
"317","I do the gender swap thing and become Dothraki ",0,0,0,0,0,0,0,0,0
"318","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"319","RT The drama over the Starbucks cup continues On Tuesday Ser Davos blamed Emilia Clar",0,0,0,0,0,0,0,0,-0.75
"320","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"321","RT How hood niggas watch Game of Thrones  ",1,1,1,2,0,0,0,0,-0.25
"322","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"323","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"324","RT Arya How many girls have you slept withGendry I did not understand the question  ",0,0,0,0,0,0,0,0,0
"325","Youve got the north in you the real north says Tormund to Jon Foreshadowing perhaps What if Jon becomes ",0,0,0,0,0,0,0,1,0.25
"326","RT Im not crying you are ",0,0,0,0,0,1,0,0,-0.5
"327","RT Kit Harington when asked to describe the S finale in one word ",0,0,0,0,0,0,0,1,0
"328","RT When I was watching and saw fight I said thats Filipino Martial Arts So I called HBO an",2,0,0,1,0,0,0,0,-0.9
"329","RT Slow motion of next weeks preview shows more than one dragon in the air again Drogon done had some babi",0,1,0,1,0,0,0,0,-0.25
"330","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"331","Which house are you set now available or just damn fine Whiskey on the ",1,0,1,0,0,0,0,0,0.3
"332","RT Game of thrones is nothing but a bullshit spreading immorality in the global society People are just following the tre",1,0,1,0,0,0,0,0,-0.6
"333","GAME OF THRONES  Cinematography by Robert McLachlanDirected by Matt ShakmanFrom the episode EastwatchE ",0,0,0,0,0,0,0,0,0
"334","I do quality topnotch and  plagiarism free papersI have the best deals and discounts  for all your assignments ",0,0,1,0,0,0,0,0,1
"335","This week I wrote about love in Westeros which is pretty much always a bad idea  ",1,1,1,1,2,1,0,1,0.75
"336","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"337","RT Making this Sock Puppet Theatre episode gave me giggle fits Theres drama romance and possibly a t",1,1,0,1,2,1,1,1,0.75
"338","When you first wake up and look in the mirror ",0,0,0,0,0,0,0,0,0
"339","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"340","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"341","All Game of Thrones Cast Roles Biographies amp Salary",0,1,0,0,1,0,0,1,0.6
"342","The North Remembers  ",0,0,0,0,0,0,0,0,0
"343","Reading this again broke my heartGhost deserved better ",0,0,0,1,0,1,0,0,0.4
"344","RT My babies deserve better  ",1,1,0,0,0,0,0,1,1.05
"345","THREAD My final rant about and before we find out the rest  Brienne and Jaimes tale i ",0,0,0,0,0,0,0,0,-0.5
"346","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"347","RT Dont worry the elephants have arrived ",0,1,0,1,0,1,0,0,-0.75
"348","RT Ready for the Team rally call dressed as the most famous character from the last episode of ",0,1,0,0,0,0,0,1,1.3
"349","RT when your daughter cant keep a secret for  minutes that you kept for  years ",0,0,0,0,1,0,0,1,0.6
"350","RT Glad we got to the bottom of that ",0,1,0,0,1,1,0,0,0.75
"351","best behindthescenes photos taken by the cast",0,0,0,0,0,0,0,0,0.5
"352","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"353","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"354","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"355","RT Fresh Friday EpisodeGiannis and the Bucks advance past the CelticsKD InjurySixers amp Trail Blazers Force Game",1,1,0,2,1,0,1,0,0.7
"356","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"357","RT Close up of that Coffee cup mistake in ",0,0,0,0,0,1,0,0,-0.75
"358","RT Kit harrington was NOT kidding when he said season  will be disappointing Breaks my heart seeing what couldve possibly",0,0,0,0,0,1,0,0,-1.15
"359","Forgotten get maps the other day stopped to get them and this jimpped in my hands Im officially addicted and a ",0,0,0,1,0,1,0,0,-1.4
"360","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"361","RT What did Euron just see The penultimate episode of is nearly here ",0,0,0,0,0,0,0,0,0
"362","Im ready for Kings Landing to burn  ",0,1,0,0,0,0,0,0,0.4
"363","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"364","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"365","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"366","RT just in case yall didnt know my cousin makes the bombest cakes literally ever her cakes will have you hooke",0,0,0,1,0,1,0,0,0
"367","RT With more fighting on the horizon Im still wondering why Cersei didnt end the big conflict at the center of ",2,1,0,1,0,1,0,1,-1.05
"368","RT When I was watching and saw fight I said thats Filipino Martial Arts So I called HBO an",2,0,0,1,0,0,0,0,-0.9
"369","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"370","RT The Last of the StarksWatch the Game Revealed for last nights episode of on ",0,0,0,0,0,0,0,0,0
"371","Fresh Friday EpisodeGiannis and the Bucks advance past the CelticsKD InjurySixers amp Trail Blazers Force G ",1,1,0,2,1,0,1,0,0.7
"372","RT Joey Bosa thinks he found his cameo on thanks to his big nose via ",0,0,1,0,1,0,0,1,1.45
"373","New episode on amp other networksWe talk about the big news week and the la ",0,0,0,0,0,0,0,0,1.45
"374","RT Check Emilia Clarkes reaction when she was asked if she was happy with how Season  ended ",0,1,0,0,1,0,0,1,0.75
"375","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"376","RT Fixed it  ",0,0,0,0,0,0,0,1,0
"377","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"378","Somewhere in the world someone is watching GOT S E out of peer pressure",0,0,0,0,0,0,0,0,-0.5
"379","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"380","Ghost deserved better ",0,0,0,1,0,0,0,0,0.45
"381","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"382","Brienne needed neither Jaime to validate her with knighthood nor his manhood Thank youend transmission",0,0,0,0,0,0,0,0,1.55
"383","Gas them and light them Drogon ",0,0,0,0,0,0,0,0,0
"384","RT These pics from new looks like they actually say something about S rather than past seasonsst pi",0,0,0,0,0,0,0,0,1.3
"385","Here is the true loyal guy in ",0,0,0,1,1,0,1,1,1.5
"386","THEY ALL LOOK LIKE EXTRAS IN SKINS ",0,0,0,0,0,0,0,0,0.5
"387","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"388","RT GAME OF THRONES Cinematography by Fabian WagnerDirected by Miguel SapochnikFrom the episode Battle of the Ba",1,0,0,0,0,0,0,0,-0.5
"389","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"390","What role if any do you think Tyrions plea to Cersei played in Messandais death ",1,2,1,2,0,2,1,0,-1.25
"391","RT Grey Worm is that you cc ",0,1,0,0,0,0,1,0,-0.25
"392","RT Before the storm final season brews up a breaking point ",1,0,0,0,0,0,0,0,-0.85
"393","So the King has just been dropping hints since a while now ",0,0,0,0,0,0,0,0,0.1
"394","RT Its been a privilege to play that part It has been an evolution of self http",0,0,0,0,0,0,0,0,0.75
"395","RT I just started watching from Season  You guys NO SPOILERS jk spoilers dont ruin shit for me",1,0,1,1,0,1,0,0,-1.5
"396","RT Human Drinks alcoholLiver breaks down and removes toxic substances in alcoholHuman Drinks more alcoholLiver",0,0,1,0,0,0,0,0,-0.9
"397","RT Grey Worm is that you cc ",0,1,0,0,0,0,1,0,-0.25
"398","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"399","RT Check out my daily cartoon over at the New Yorker ",0,1,0,0,0,0,0,0,0.8
"400","Stay here stay with me please",0,0,0,0,0,0,0,0,1
"401","RT What really happened ",0,0,0,0,0,0,0,0,0
"402","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"403","RT The Last of the Starks is second lowest rated episode of everNo matter the scores of the final two",0,0,0,0,0,1,0,0,-0.5
"404","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"405","RT A good personal injury attorney could make a KILLING in Westeros Get it A killinght",3,1,0,3,1,2,1,3,-1
"406","All Game of Thrones Cast Roles Biographies amp Salary  is paidM per episode ",0,1,0,0,1,0,0,1,0.6
"407","Whats the purpose of Bran being in this show The only useful thing hes done was tell everyone the Wall has fallen ",0,0,1,0,0,0,0,1,0
"408","With more fighting on the horizon Im still wondering why Cersei didnt end the big conflict at the center of ",2,1,0,1,0,1,0,1,-1.05
"409","RT now everything makes sense this is so sad HAHAHAHAHAHA",0,0,0,0,0,0,0,0,-0.5
"410","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"411","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"412","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"413","SPOILERS What happened A once great show using source material from has not stayed true to t ",0,0,0,0,0,0,0,1,1
"414","RT Queens of the North ",0,0,0,0,0,0,0,0,0
"415","RT How hood niggas watch Game of Thrones  ",1,1,1,2,0,0,0,0,-0.25
"416","RT when your daughter cant keep a secret for  minutes that you kept for  years ",0,0,0,0,1,0,0,1,0.6
"417","RT Grey Worm is that you cc ",0,1,0,0,0,0,1,0,-0.25
"418","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"419","RT New Episode of The Beard and The Bald is up Talking vs Titanic and Avatar latest ep",0,0,0,0,0,0,0,0,0.8
"420","RT Game of thrones is nothing but a bullshit spreading immorality in the global society People are just following the tre",1,0,1,0,0,0,0,0,-0.6
"421","RT Dany We should go and take the throne nowSansa Its best if the soldiers rest before",0,0,0,0,0,0,0,1,1.1
"422","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"423","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"424","RT I painted Brienne of Tarth from Game  of Thrones and recorded the whole thing Check it out  leak ",0,0,0,0,0,0,0,0,-0.75
"425","Were you expecting something different Ill probably be very drunk and far from the Internet too ",1,1,1,1,0,1,0,0,-1
"426","RT When I was watching and saw fight I said thats Filipino Martial Arts So I called HBO an",2,0,0,1,0,0,0,0,-0.9
"427","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"428","RT Who are your top five characters Send them in and well read them on the show ",0,1,0,0,0,0,0,2,0.8
"429","RT best scene ever ",0,0,0,0,0,0,0,0,0.5
"430","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"431","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"432","creator George RR Martin confirms there are still several spinoff series in the works at HBO  and h ",0,0,0,0,0,0,0,1,0.85
"433","RT Behold the concept art and storyboards behind creating the fateful faceoff between Cersei and Daenerys h",0,1,0,0,1,1,1,0,1
"434","RT Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"435","RT Daenerys after everyone betrayed her and dampd butchered her character ",0,0,0,0,0,0,0,0,-1
"436","RT RT to pet the goodest boi",0,0,0,0,0,0,0,0,0
"437","RT For seven and a half seasons has told viewers Daenerys Targaryen is a ruler capable of compromise a monarch",0,0,0,0,0,0,0,0,0.5
"438","RT blows up the sept of Balor kills a whole family kills innocent Missandei and uses innocent people as shields kills he",0,0,0,0,0,0,0,1,0.05
"439","Gotta long Friday work day today of making inventories so Im FINALLY listening to all of the Cast of Kings Podcast ",0,2,1,0,1,0,1,1,0.65
"440","RT Fixed it  ",0,0,0,0,0,0,0,1,0
"441","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"442","RT clears throat Daenarys isnt mad shes angry",2,0,2,1,0,1,0,0,-1
"443","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"444","RT Hours of training for the Battle of Winterfell with the incredible Iain Glen aka ",1,0,0,0,0,0,0,0,0
"445","RT Great Show Tonight Emma Thompson is here and we get to the bottom of the Starbucks cup with Plu",0,0,0,0,0,1,0,1,0.5
"446","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"447","RT  Season  vs Season  ",0,0,0,0,0,0,0,0,0
"448","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"449","RT DRACARYS Is the Mad Queen ComingARTwork by MeYou can get prints and stuff here ",1,0,1,1,0,1,0,0,-0.75
"450","RT Give us this spinoff  ",0,0,0,0,0,0,0,0,0
"451","RT And I honestly just want to shout out to my amazing cast who bring so much energy and creativity",1,0,0,0,0,0,1,0,1.5
"452","OMG will be in episode  of ",0,0,0,0,0,0,0,0,0
"453","Lets just all agree we saw this last Sunday My heart needs it ",0,0,0,0,0,0,0,0,0.5
"454","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"455","RT It is knownLook closer at the costumes and props from The Last of the Starks ",0,0,0,0,0,0,0,0,0
"456","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"457","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"458","Id agree to grant a Grand Maester title for Ivan Lanin in Westeros Citadel would have approved as well ",0,1,0,0,1,0,0,2,3.3
"459","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"460"," Bran Stark turns into Night King in finale twist ",0,0,1,0,0,0,0,1,-0.4
"461","Exciting is getting a Netflix show and will resemble the type of series ",0,1,0,0,1,0,1,2,0.75
"462","RT What its called when you make woman a knight Take her Virginity then disappear ",0,1,0,1,0,0,0,0,0.5
"463","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"464","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"465","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"466","RT Lockscreen and Homescreen Jon SnowFor i hope you like it  RTFV ",0,1,0,0,1,0,1,1,1
"467","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"468","The political leanings of our protagonists a thread Feel free to join in ",0,0,0,0,0,0,0,0,0.75
"469","RT So is the real villain of this season ",0,0,0,1,0,0,0,1,-0.75
"470","RT A Very Small Man Can Cast A Very Large Shadow by meNot a spoiler really I envy whom cant still see this coming ",0,1,0,0,0,1,0,0,-1.6
"471","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"472","Jake has caught up on and agrees with me This season has been great",0,0,0,0,0,0,0,0,1
"473","RT Human Drinks alcoholLiver breaks down and removes toxic substances in alcoholHuman Drinks more alcoholLiver",0,0,1,0,0,0,0,0,-0.9
"474","RT Grey Worm is that you cc ",0,1,0,0,0,0,1,0,-0.25
"475","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"476","I wonder which will be more disappointing or exciting on Monday May ",0,1,0,0,1,1,1,0,-0.25
"477","And now its watch has ended",0,1,0,1,0,0,0,0,0
"478","RT SPOILERSI dont know why I put so much effort into this but I did ",0,0,0,0,0,0,0,0,0
"479","RT Will the North be an independent Kingdom at the end of Yes No  ",0,0,0,0,0,0,0,0,0.8
"480","Real conversation with my yearold this morning Me Aria come to the table to eat breakfast Aria My name ",0,0,0,0,0,0,0,1,1.45
"481","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"482","RT This is Samwell Sam reads books Cures diseases And investigates Snow genealogy Sam proves that the mind Is mightier th",0,0,0,0,0,0,0,0,0.5
"483","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"484"," years and  times the budget for a season thats worse than  How tf does Dany forget Come on now ",0,0,0,1,0,1,0,1,-1.25
"485","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"486","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"487","This actually killed me didnt realise what was yet to come",0,0,0,0,0,0,0,0,-0.5
"488","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"489","knowing that cersei is a advocate makes me feel a little less uneasy about her winning the ",0,1,2,1,1,1,1,2,0.95
"490","RT Creators Plan to Be Very Drunk and Far From the Internet When Series Finale Airs ht",0,1,1,0,0,0,0,1,-0.5
"491","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"492","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"493","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"494","RT My babies deserve better  ",1,1,0,0,0,0,0,1,1.05
"495","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"496","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"497","RT Will the North be an independent Kingdom at the end of Yes No  ",0,0,0,0,0,0,0,0,0.8
"498","RT Me when the crossbow bolts started hitting Rhaegal ",0,0,0,0,0,0,0,0,-0.6
"499","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"500","How Game of Thrones failed its women via ",0,0,0,0,0,0,0,0,-0.5
"501","RT Me when they killed Rhaegal ",0,0,0,0,0,0,0,0,-0.5
"502","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"503","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"504","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"505","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
